Name                                              Project       Compat             Latest             Kind         Platform
git2->libgit2-sys                                 0.15.2+1.6.4  ---                0.17.0+1.8.1       Normal       ---
git2->log                                         0.4.19        0.4.22             0.4.22             Normal       ---
git2->url                                         2.4.0         2.5.2              2.5.2              Normal       ---
globset->aho-corasick                             1.0.2         1.1.3              1.1.3              Normal       ---
globset->bstr                                     1.6.0         1.10.0             1.10.0             Normal       ---
globset->fnv                                      1.0.7         Removed            Removed            Normal       ---
globset->log                                      0.4.19        0.4.22             0.4.22             Normal       ---
globset->regex                                    1.9.1         Removed            Removed            Normal       ---
globwalk->bitflags                                1.3.2         2.6.0              2.6.0              Normal       ---
globwalk->ignore                                  0.4.20        0.4.22             0.4.22             Normal       ---
globwalk->walkdir                                 2.3.3         2.5.0              2.5.0              Normal       ---
grep-matcher->memchr                              2.5.0         2.7.4              2.7.4              Normal       ---
grep-searcher                                     0.1.11        0.1.13             0.1.13             Normal       ---
grep-searcher->bstr                               1.6.0         1.10.0             1.10.0             Normal       ---
grep-searcher->bytecount                          0.6.3         Removed            Removed            Normal       ---
grep-searcher->encoding_rs                        0.8.32        0.8.34             0.8.34             Normal       ---
grep-searcher->grep-matcher                       0.1.6         0.1.7              0.1.7              Normal       ---
grep-searcher->log                                0.4.19        0.4.22             0.4.22             Normal       ---
grep-searcher->memmap2                            0.5.10        0.9.4              0.9.4              Normal       ---
hermit-abi->libc                                  0.2.155       0.2.156            Removed            Normal       ---
home->windows-sys                                 0.48.0        0.52.0             0.52.0             Normal       cfg(windows)
humansize->libm                                   0.2.7         0.2.8              0.2.8              Normal       ---
iana-time-zone->core-foundation-sys               0.8.4         0.8.7              0.8.7              Normal       cfg(any(target_os = "macos", target_os = "ios"))
iana-time-zone->js-sys                            0.3.64        0.3.70             0.3.70             Normal       cfg(target_arch = "wasm32")
iana-time-zone->wasm-bindgen                      0.2.87        0.2.93             0.2.93             Normal       cfg(target_arch = "wasm32")
iana-time-zone->windows                           0.48.0        Removed            Removed            Normal       cfg(target_os = "windows")
iana-time-zone-haiku->cc                          1.0.81        1.1.13             1.1.13             Build        ---
idna->unicode-bidi                                0.3.13        0.3.15             0.3.15             Normal       ---
idna->unicode-normalization                       0.1.22        0.1.23             0.1.23             Normal       ---
ignore                                            0.4.20        0.4.22             0.4.22             Normal       ---
ignore->globset                                   0.4.12        0.4.14             0.4.14             Normal       ---
ignore->lazy_static                               1.4.0         Removed            Removed            Normal       ---
ignore->log                                       0.4.19        0.4.22             0.4.22             Normal       ---
ignore->memchr                                    2.5.0         2.7.4              2.7.4              Normal       ---
ignore->regex                                     1.9.1         Removed            Removed            Normal       ---
ignore->thread_local                              1.1.4         Removed            Removed            Normal       ---
ignore->walkdir                                   2.3.3         2.5.0              2.5.0              Normal       ---
ignore->winapi-util                               0.1.5         0.1.9              0.1.9              Normal       cfg(windows)
indexmap->autocfg                                 1.1.0         1.3.0              Removed            Build        ---
indexmap->hashbrown                               0.12.3        ---                Removed            Normal       ---
indexmap->hashbrown                               0.14.0        0.14.5             0.14.5             Normal       ---
io-lifetimes->hermit-abi                          0.3.2         0.3.9              Removed            Normal       cfg(target_os = "hermit")
io-lifetimes->libc                                0.2.155       0.2.156            Removed            Normal       cfg(not(windows))
io-lifetimes->windows-sys                         0.48.0        ---                Removed            Normal       cfg(windows)
is-terminal->hermit-abi                           0.3.2         0.4.0              Removed            Normal       cfg(target_os = "hermit")
is-terminal->hermit-abi                           0.3.2         Removed            Removed            Normal       cfg(target_os = "hermit")
is-terminal->rustix                               0.38.6        Removed            Removed            Normal       cfg(not(any(windows, target_os = "hermit", target_os = "unknown")))
is-terminal->windows-sys                          0.48.0        0.52.0             Removed            Normal       cfg(windows)
is-terminal->windows-sys                          0.48.0        Removed            Removed            Normal       cfg(windows)
itertools->either                                 1.9.0         1.13.0             1.13.0             Normal       ---
jobserver->libc                                   0.2.155       0.2.156            0.2.156            Normal       cfg(unix)
jobserver->libc                                   0.2.155       Removed            Removed            Normal       cfg(unix)
js-sys->wasm-bindgen                              0.2.87        0.2.93             0.2.93             Normal       ---
json5->pest                                       2.7.2         2.7.11             2.7.11             Normal       ---
json5->pest_derive                                2.7.2         2.7.11             2.7.11             Normal       ---
json5->serde                                      1.0.180       1.0.208            1.0.208            Normal       ---
libgit2-sys->cc                                   1.0.81        1.1.13             1.1.13             Build        ---
libgit2-sys->libc                                 0.2.155       0.2.156            0.2.156            Normal       ---
libgit2-sys->libz-sys                             1.1.12        1.1.19             1.1.19             Normal       ---
libgit2-sys->pkg-config                           0.3.27        0.3.30             0.3.30             Build        ---
libz-sys->cc                                      1.0.81        1.1.13             1.1.13             Build        ---
libz-sys->libc                                    0.2.155       0.2.156            0.2.156            Normal       ---
libz-sys->pkg-config                              0.3.27        0.3.30             0.3.30             Build        ---
lock_api->autocfg                                 1.1.0         1.3.0              1.3.0              Build        ---
log                                               0.4.19        0.4.22             0.4.22             Normal       ---
memmap2->libc                                     0.2.155       0.2.156            0.2.156            Normal       cfg(unix)
memoffset->autocfg                                1.1.0         Removed            Removed            Build        ---
num-format->itoa                                  1.0.9         1.0.11             1.0.11             Normal       ---
num-traits->autocfg                               1.1.0         1.3.0              1.3.0              Build        ---
num-traits->libm                                  0.2.7         0.2.8              0.2.8              Normal       ---
num_cpus->hermit-abi                              0.3.2         Removed            Removed            Normal       cfg(target_os = "hermit")
num_cpus->libc                                    0.2.155       Removed            Removed            Normal       cfg(not(windows))
once_cell                                         1.18.0        1.19.0             1.19.0             Normal       ---
parking_lot                                       0.12.1        0.12.3             0.12.3             Normal       ---
parking_lot->lock_api                             0.4.10        0.4.12             0.4.12             Normal       ---
parking_lot->parking_lot_core                     0.9.8         0.9.10             0.9.10             Normal       ---
parking_lot_core->libc                            0.2.155       0.2.156            0.2.156            Normal       cfg(unix)
parking_lot_core->redox_syscall                   0.3.5         0.5.3              0.5.3              Normal       cfg(target_os = "redox")
parking_lot_core->smallvec                        1.11.0        1.13.2             1.13.2             Normal       ---
parking_lot_core->windows-targets                 0.48.1        0.52.6             0.52.6             Normal       cfg(windows)
parse-zoneinfo->regex                             1.9.1         1.10.6             1.10.6             Normal       ---
pest->thiserror                                   1.0.44        1.0.63             1.0.63             Normal       ---
pest_derive->pest                                 2.7.2         2.7.11             2.7.11             Normal       ---
pest_derive->pest_generator                       2.7.2         2.7.11             2.7.11             Normal       ---
pest_generator->pest                              2.7.2         2.7.11             2.7.11             Normal       ---
pest_generator->pest_meta                         2.7.2         2.7.11             2.7.11             Normal       ---
pest_generator->proc-macro2                       1.0.66        1.0.86             1.0.86             Normal       ---
pest_generator->quote                             1.0.32        1.0.36             1.0.36             Normal       ---
pest_generator->syn                               2.0.28        2.0.74             2.0.74             Normal       ---
pest_meta->once_cell                              1.18.0        1.19.0             1.19.0             Normal       ---
pest_meta->pest                                   2.7.2         2.7.11             2.7.11             Normal       ---
pest_meta->sha2                                   0.10.7        0.10.8             0.10.8             Build        ---
phf->phf_shared                                   0.10.0        0.11.2             0.11.2             Normal       ---
phf_codegen->phf_generator                        0.10.0        0.11.2             0.11.2             Normal       ---
phf_codegen->phf_shared                           0.10.0        0.11.2             0.11.2             Normal       ---
phf_generator->phf_shared                         0.10.0        0.11.2             0.11.2             Normal       ---
phf_shared->siphasher                             0.3.10        0.3.11             0.3.11             Normal       ---
phf_shared->uncased                               0.9.9         Removed            Removed            Normal       ---
proc-macro2->unicode-ident                        1.0.11        1.0.12             1.0.12             Normal       ---
proptest                                          1.2.0         1.5.0              1.5.0              Development  ---
proptest->bitflags                                1.3.2         2.6.0              2.6.0              Normal       ---
proptest->byteorder                               1.4.3         Removed            Removed            Normal       ---
proptest->lazy_static                             1.4.0         1.5.0              1.5.0              Normal       ---
proptest->num-traits                              0.2.16        0.2.19             0.2.19             Normal       ---
proptest->regex-syntax                            0.6.29        0.8.4              0.8.4              Normal       ---
proptest->tempfile                                3.7.0         3.12.0             3.12.0             Normal       ---
quote->proc-macro2                                1.0.66        1.0.86             1.0.86             Normal       ---
rand->libc                                        0.2.155       0.2.156            0.2.156            Normal       cfg(unix)
rand_chacha->ppv-lite86                           0.2.17        0.2.20             0.2.20             Normal       ---
rand_core->getrandom                              0.2.10        0.2.15             0.2.15             Normal       ---
rayon                                             1.7.0         1.10.0             1.10.0             Normal       ---
rayon->either                                     1.9.0         1.13.0             1.13.0             Normal       ---
rayon->rayon-core                                 1.11.0        1.12.1             1.12.1             Normal       ---
rayon-core->crossbeam-channel                     0.5.8         Removed            Removed            Normal       ---
rayon-core->crossbeam-deque                       0.8.3         0.8.5              0.8.5              Normal       ---
rayon-core->crossbeam-utils                       0.8.16        0.8.20             0.8.20             Normal       ---
rayon-core->num_cpus                              1.16.0        Removed            Removed            Normal       ---
redox_syscall->bitflags                           1.3.2         2.6.0              2.6.0              Normal       ---
redox_syscall->bitflags                           1.3.2         Removed            Removed            Normal       ---
regex                                             1.9.1         1.10.6             1.10.6             Normal       ---
regex->aho-corasick                               1.0.2         1.1.3              1.1.3              Normal       ---
regex->aho-corasick                               1.0.2         1.1.3              Removed            Normal       ---
regex->aho-corasick                               1.0.2         Removed            Removed            Normal       ---
regex->memchr                                     2.5.0         2.7.4              2.7.4              Normal       ---
regex->memchr                                     2.5.0         2.7.4              Removed            Normal       ---
regex->memchr                                     2.5.0         Removed            Removed            Normal       ---
